#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#
#	###############
#	# Input Files #
#	###############
#
#	[Input_Files]
#
#	psm{Run1} = sipNew/Pan_052322_X1.psm.txt
#
#	pep{Run1} = sipNew/Pan_052322_X1.pep.txt
#
#	########################
#	# Filtering Parameters #
#	########################
#
#	[Protein_Identification]
#
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 1
#
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#
#	#######################
#	# Statistical Results #
#	#######################
#
#	[Statistical_Results]
#
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 72
#	Target_Proteins_Before_Filtering = 1196
#	Total_Proteins_Before_Filtering = 1268
#
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 71
#	Target_Proteins_After_Filtering = 1183
#	Total_Proteins_After_Filtering = 1254
#
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.0566188197767
#
#	################
#	# Column Names #
#	################
#
#	[Column_Names]
#
#	+ = Marker of a protein line
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#
#	* = Marker of a PSM line
#	Filename = Filename of input FT2 file
#	ScanNumber = Scan number of the PSM
#	ParentCharge = Charge state of the PSM
#	MeasuredParentMass = Measured parent mass
#	CalculatedParentMass = Calculated parent mass from peptide sequence
#	MassErrorDa = Mass error in Da with 1-Da error correction
#	MassErrorPPM = Mass error in PPM with 1-Da error correction
#	ScanType = Scan type of the PSM
#	SearchName = Sipros search name
#	ScoringFunction = Scoring function used in the search
#	Score = Score
#	DeltaZ = Difference between the best PSM and the next best PSM of this scan
#	DeltaP = Difference between the best modified PSM and its PTM isoform
#	IdentifiedPeptide = Identified peptide sequence with potential PTMs and mutations
#	OriginalPeptide = Original peptide sequence in the FASTA file
#	ProteinNames = Names of proteins of the peptide
#	ProteinCount = Number of proteins that the peptide can be assigned to
#	TargetMatch = T for target match and F for decoy match
#
	ProteinID	AverageEnrichmentLevel	StandardDeviation	UniqueSpectrumCounts	TotalSpectrumCounts	EnrichmentLevels	ProteinDescription
+	{sp|P0AFG3|ODO1_ECOLI}	54000	0	4	4	{54000,54000,54000,54000}	{sp|P0AFG3|ODO1_ECOLI 2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) OX=83333 GN=sucA PE=1 SV=1}
+	{sp|P21170|SPEA_ECOLI}	47000	0	3	3	{47000,47000,47000}	{sp|P21170|SPEA_ECOLI Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) OX=83333 GN=speA PE=1 SV=2}
+	{sp|P11446|ARGC_ECOLI}	44000	0	1	1	{44000}	{sp|P11446|ARGC_ECOLI N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) OX=83333 GN=argC PE=1 SV=1}
+	{sp|P25437|FRMA_ECOLI}	41000	0	1	1	{41000}	{sp|P25437|FRMA_ECOLI S-(hydroxymethyl)glutathione dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=frmA PE=1 SV=3}
+	{sp|P61517|CAN_ECOLI}	54000	0	5	5	{54000,54000,54000,54000,54000}	{sp|P61517|CAN_ECOLI Carbonic anhydrase 2 OS=Escherichia coli (strain K12) OX=83333 GN=can PE=1 SV=1}
+	{sp|P0AA25|THIO_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P0AA25|THIO_ECOLI Thioredoxin 1 OS=Escherichia coli (strain K12) OX=83333 GN=trxA PE=1 SV=2}
+	{sp|P33643|RLUD_ECOLI}	43000	0	1	1	{43000}	{sp|P33643|RLUD_ECOLI Ribosomal large subunit pseudouridine synthase D OS=Escherichia coli (strain K12) OX=83333 GN=rluD PE=1 SV=4}
+	{sp|P00561|AK1H_ECOLI}	46000	0	10	10	{46000,46000,46000,46000,46000,46000,46000,46000,46000,46000}	{sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) OX=83333 GN=thrA PE=1 SV=2}
+	{sp|P04825|AMPN_ECOLI}	52000	0	12	12	{52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000}	{sp|P04825|AMPN_ECOLI Aminopeptidase N OS=Escherichia coli (strain K12) OX=83333 GN=pepN PE=1 SV=2}
+	{sp|P77444|SUFS_ECOLI}	45000	0	2	2	{45000,45000}	{sp|P77444|SUFS_ECOLI Cysteine desulfurase OS=Escherichia coli (strain K12) OX=83333 GN=sufS PE=1 SV=1}
+	{sp|P07003|POXB_ECOLI}	49000	0	16	16	{49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P07003|POXB_ECOLI Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) OX=83333 GN=poxB PE=1 SV=1}
+	{sp|P0AE88|CPXR_ECOLI}	52000	0	6	6	{52000,52000,52000,52000,52000,52000}	{sp|P0AE88|CPXR_ECOLI Transcriptional regulatory protein CpxR OS=Escherichia coli (strain K12) OX=83333 GN=cpxR PE=1 SV=1}
+	{sp|P0A9D2|GSTA_ECOLI}	51000	0	4	4	{51000,51000,51000,51000}	{sp|P0A9D2|GSTA_ECOLI Glutathione S-transferase GstA OS=Escherichia coli (strain K12) OX=83333 GN=gstA PE=1 SV=1}
+	{sp|P77454|GLSA1_ECOLI}	50000	0	1	1	{50000}	{sp|P77454|GLSA1_ECOLI Glutaminase 1 OS=Escherichia coli (strain K12) OX=83333 GN=glsA1 PE=1 SV=1}
+	{sp|P76251|DMLA_ECOLI}	47000	0	3	3	{47000,47000,47000}	{sp|P76251|DMLA_ECOLI D-malate dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) OX=83333 GN=dmlA PE=1 SV=1}
+	{sp|P38038|CYSJ_ECOLI}	56000	0	2	2	{56000,56000}	{sp|P38038|CYSJ_ECOLI Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) OX=83333 GN=cysJ PE=1 SV=4}
+	{sp|P0AB24|EFEO_ECOLI}	55000	0	1	1	{55000}	{sp|P0AB24|EFEO_ECOLI Iron uptake system component EfeO OS=Escherichia coli (strain K12) OX=83333 GN=efeO PE=1 SV=1}
+	{sp|P77552|YDHQ_ECOLI}	54000	0	1	1	{54000}	{sp|P77552|YDHQ_ECOLI Uncharacterized protein YdhQ OS=Escherichia coli (strain K12) OX=83333 GN=ydhQ PE=4 SV=1}
+	{sp|P0A850|TIG_ECOLI}	56000	0	2	2	{56000,56000}	{sp|P0A850|TIG_ECOLI Trigger factor OS=Escherichia coli (strain K12) OX=83333 GN=tig PE=1 SV=1}
+	{sp|P24186|FOLD_ECOLI}	55000	0	1	1	{55000}	{sp|P24186|FOLD_ECOLI Bifunctional protein FolD OS=Escherichia coli (strain K12) OX=83333 GN=folD PE=1 SV=4}
+	{sp|P00893|ILVI_ECOLI}	38000	0	1	1	{38000}	{sp|P00893|ILVI_ECOLI Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) OX=83333 GN=ilvI PE=1 SV=2}
+	{sp|P09831|GLTB_ECOLI}	39000	0	1	1	{39000}	{sp|P09831|GLTB_ECOLI Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) OX=83333 GN=gltB PE=1 SV=3}
+	{sp|P76558|MAO2_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P76558|MAO2_ECOLI NADP-dependent malic enzyme OS=Escherichia coli (strain K12) OX=83333 GN=maeB PE=1 SV=1}
+	{sp|P75745|PXPC_ECOLI}	57000	0	1	1	{57000}	{sp|P75745|PXPC_ECOLI 5-oxoprolinase subunit C OS=Escherichia coli (strain K12) OX=83333 GN=pxpC PE=1 SV=1}
+	{sp|P63235|GADC_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P63235|GADC_ECOLI Glutamate/gamma-aminobutyrate antiporter OS=Escherichia coli (strain K12) OX=83333 GN=gadC PE=1 SV=1}
+	{sp|P30177|YBIB_ECOLI}	55000	0	2	2	{55000,55000}	{sp|P30177|YBIB_ECOLI Uncharacterized protein YbiB OS=Escherichia coli (strain K12) OX=83333 GN=ybiB PE=1 SV=1}
+	{sp|P04846|NLPA_ECOLI}	44000	0	1	1	{44000}	{sp|P04846|NLPA_ECOLI Lipoprotein 28 OS=Escherichia coli (strain K12) OX=83333 GN=nlpA PE=1 SV=1}
+	{sp|P31133|POTF_ECOLI}	43000	0	1	1	{43000}	{sp|P31133|POTF_ECOLI Putrescine-binding periplasmic protein PotF OS=Escherichia coli (strain K12) OX=83333 GN=potF PE=1 SV=3}
+	{sp|P0AA10|RL13_ECOLI}	48000	0	4	4	{48000,48000,48000,48000}	{sp|P0AA10|RL13_ECOLI 50S ribosomal protein L13 OS=Escherichia coli (strain K12) OX=83333 GN=rplM PE=1 SV=1}
+	{sp|Q59385|COPA_ECOLI}	48000	0	2	2	{48000,48000}	{sp|Q59385|COPA_ECOLI Copper-exporting P-type ATPase OS=Escherichia coli (strain K12) OX=83333 GN=copA PE=1 SV=4}
+	{sp|P0A763|NDK_ECOLI}	58000	0	3	3	{58000,58000,58000}	{sp|P0A763|NDK_ECOLI Nucleoside diphosphate kinase OS=Escherichia coli (strain K12) OX=83333 GN=ndk PE=1 SV=2}
+	{sp|P0ADV5|YHBW_ECOLI}	56000	0	1	1	{56000}	{sp|P0ADV5|YHBW_ECOLI Luciferase-like monooxygenase OS=Escherichia coli (strain K12) OX=83333 GN=yhbW PE=4 SV=1}
+	{Rev_sp|P33136|OPGG_ECOLI}	55000	0	1	1	{55000}	{N/A}
+	{sp|P56262|DLHH_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P56262|DLHH_ECOLI Putative carboxymethylenebutenolidase OS=Escherichia coli (strain K12) OX=83333 GN=ysgA PE=3 SV=3}
+	{sp|P09373|PFLB_ECOLI}	60000	0	1	1	{60000}	{sp|P09373|PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=pflB PE=1 SV=2}
+	{sp|P0AAT9|YBEL_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P0AAT9|YBEL_ECOLI Uncharacterized protein YbeL OS=Escherichia coli (strain K12) OX=83333 GN=ybeL PE=4 SV=1}
+	{sp|P0ADC3|LOLC_ECOLI}	50000	0	3	3	{50000,50000,50000}	{sp|P0ADC3|LOLC_ECOLI Lipoprotein-releasing system transmembrane protein LolC OS=Escherichia coli (strain K12) OX=83333 GN=lolC PE=1 SV=1}
+	{sp|P0AC86|PHSG_ECOLI}	51000	0	1	1	{51000}	{sp|P0AC86|PHSG_ECOLI Glycogen phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=glgP PE=3 SV=1}
+	{sp|P00370|DHE4_ECOLI}	61000	0	2	2	{61000,61000}	{sp|P00370|DHE4_ECOLI NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=gdhA PE=1 SV=1}
+	{sp|P02929|TONB_ECOLI}	59000	0	1	1	{59000}	{sp|P02929|TONB_ECOLI Protein TonB OS=Escherichia coli (strain K12) OX=83333 GN=tonB PE=1 SV=2}
+	{sp|P0AFG0|NUSG_ECOLI}	42000	0	1	1	{42000}	{sp|P0AFG0|NUSG_ECOLI Transcription termination/antitermination protein NusG OS=Escherichia coli (strain K12) OX=83333 GN=nusG PE=1 SV=2}
+	{sp|P60390|RSMH_ECOLI}	45000	0	1	1	{45000}	{sp|P60390|RSMH_ECOLI Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) OX=83333 GN=rsmH PE=1 SV=1}
+	{sp|P15047|ENTA_ECOLI}	46000	0	2	2	{46000,46000}	{sp|P15047|ENTA_ECOLI 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=entA PE=1 SV=1}
+	{sp|P0C8J6|GATY_ECOLI}	40000	0	1	1	{40000}	{sp|P0C8J6|GATY_ECOLI D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12) OX=83333 GN=gatY PE=1 SV=1}
+	{sp|P00960|SYGA_ECOLI}	45000	0	5	5	{45000,45000,45000,45000,45000}	{sp|P00960|SYGA_ECOLI Glycine--tRNA ligase alpha subunit OS=Escherichia coli (strain K12) OX=83333 GN=glyQ PE=1 SV=2}
+	{sp|P0ADT8|YGIM_ECOLI}	51000	0	1	1	{51000}	{sp|P0ADT8|YGIM_ECOLI Uncharacterized protein YgiM OS=Escherichia coli (strain K12) OX=83333 GN=ygiM PE=3 SV=1}
+	{sp|P0A9Z1|GLNB_ECOLI}	53000	0	1	1	{53000}	{sp|P0A9Z1|GLNB_ECOLI Nitrogen regulatory protein P-II 1 OS=Escherichia coli (strain K12) OX=83333 GN=glnB PE=1 SV=1}
+	{sp|P45470|YHBO_ECOLI}	41000	0	1	1	{41000}	{sp|P45470|YHBO_ECOLI Protein/nucleic acid deglycase 2 OS=Escherichia coli (strain K12) OX=83333 GN=yhbO PE=1 SV=2}
+	{Rev_sp|P0A6C8|ARGB_ECOLI}	48000	0	1	1	{48000}	{N/A}
+	{sp|P05793|ILVC_ECOLI}	45000	0	11	11	{45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000}	{sp|P05793|ILVC_ECOLI Ketol-acid reductoisomerase (NADP(+)) OS=Escherichia coli (strain K12) OX=83333 GN=ilvC PE=1 SV=4}
+	{sp|P25516|ACNA_ECOLI}	59000	0	1	1	{59000}	{sp|P25516|ACNA_ECOLI Aconitate hydratase A OS=Escherichia coli (strain K12) OX=83333 GN=acnA PE=1 SV=3}
+	{sp|P29217|YCEH_ECOLI}	57000	0	1	1	{57000}	{sp|P29217|YCEH_ECOLI UPF0502 protein YceH OS=Escherichia coli (strain K12) OX=83333 GN=yceH PE=1 SV=3}
+	{sp|P0A9P6|DEAD_ECOLI}	51000	0	1	1	{51000}	{sp|P0A9P6|DEAD_ECOLI ATP-dependent RNA helicase DeaD OS=Escherichia coli (strain K12) OX=83333 GN=deaD PE=1 SV=2}
+	{sp|P0A6K3|DEF_ECOLI}	44000	0	2	2	{44000,44000}	{sp|P0A6K3|DEF_ECOLI Peptide deformylase OS=Escherichia coli (strain K12) OX=83333 GN=def PE=1 SV=2}
+	{sp|P62768|YAEH_ECOLI}	44000	0	1	1	{44000}	{sp|P62768|YAEH_ECOLI UPF0325 protein YaeH OS=Escherichia coli (strain K12) OX=83333 GN=yaeH PE=3 SV=1}
+	{sp|P0A8Y8|ENTH_ECOLI}	50000	0	1	1	{50000}	{sp|P0A8Y8|ENTH_ECOLI Proofreading thioesterase EntH OS=Escherichia coli (strain K12) OX=83333 GN=entH PE=1 SV=1}
+	{sp|P0A6T1|G6PI_ECOLI}	45000	0	1	1	{45000}	{sp|P0A6T1|G6PI_ECOLI Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) OX=83333 GN=pgi PE=1 SV=1}
+	{sp|P0A7K6|RL19_ECOLI}	50000	0	11	11	{50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|P0A7K6|RL19_ECOLI 50S ribosomal protein L19 OS=Escherichia coli (strain K12) OX=83333 GN=rplS PE=1 SV=2}
+	{sp|P40191|PDXK_ECOLI}	43000	0	1	1	{43000}	{sp|P40191|PDXK_ECOLI Pyridoxine/pyridoxal/pyridoxamine kinase OS=Escherichia coli (strain K12) OX=83333 GN=pdxK PE=1 SV=2}
+	{sp|P05020|PYRC_ECOLI}	57000	0	1	1	{57000}	{sp|P05020|PYRC_ECOLI Dihydroorotase OS=Escherichia coli (strain K12) OX=83333 GN=pyrC PE=1 SV=2}
+	{sp|P0AB14|YCCJ_ECOLI}	46000	0	1	1	{46000}	{sp|P0AB14|YCCJ_ECOLI Uncharacterized protein YccJ OS=Escherichia coli (strain K12) OX=83333 GN=yccJ PE=1 SV=1}
+	{sp|P23836|PHOP_ECOLI}	51000	0	1	1	{51000}	{sp|P23836|PHOP_ECOLI Transcriptional regulatory protein PhoP OS=Escherichia coli (strain K12) OX=83333 GN=phoP PE=1 SV=1}
+	{sp|P0A6H1|CLPX_ECOLI}	46000	0	3	3	{46000,46000,46000}	{sp|P0A6H1|CLPX_ECOLI ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain K12) OX=83333 GN=clpX PE=1 SV=2}
+	{sp|P0A6Z3|HTPG_ECOLI}	48000	0	11	11	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P0A6Z3|HTPG_ECOLI Chaperone protein HtpG OS=Escherichia coli (strain K12) OX=83333 GN=htpG PE=1 SV=1}
+	{sp|P0A8G6|NQOR_ECOLI}	40000	0	1	1	{40000}	{sp|P0A8G6|NQOR_ECOLI NAD(P)H dehydrogenase (quinone) OS=Escherichia coli (strain K12) OX=83333 GN=wrbA PE=1 SV=2}
+	{sp|P0A9T4|TAS_ECOLI}	53000	0	1	1	{53000}	{sp|P0A9T4|TAS_ECOLI Protein tas OS=Escherichia coli (strain K12) OX=83333 GN=tas PE=1 SV=1}
+	{sp|P0AD61|KPYK1_ECOLI}	49000	0	11	11	{49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P0AD61|KPYK1_ECOLI Pyruvate kinase I OS=Escherichia coli (strain K12) OX=83333 GN=pykF PE=1 SV=1}
+	{sp|P24186|FOLD_ECOLI}	50000	0	2	2	{50000,50000}	{sp|P24186|FOLD_ECOLI Bifunctional protein FolD OS=Escherichia coli (strain K12) OX=83333 GN=folD PE=1 SV=4}
+	{sp|P0AE52|BCP_ECOLI}	54000	0	3	3	{54000,54000,54000}	{sp|P0AE52|BCP_ECOLI Peroxiredoxin Bcp OS=Escherichia coli (strain K12) OX=83333 GN=bcp PE=1 SV=1}
+	{sp|P0ACF8|HNS_ECOLI}	57000	0	1	1	{57000}	{sp|P0ACF8|HNS_ECOLI DNA-binding protein H-NS OS=Escherichia coli (strain K12) OX=83333 GN=hns PE=1 SV=2}
+	{sp|P62399|RL5_ECOLI}	63000	0	1	1	{63000}	{sp|P62399|RL5_ECOLI 50S ribosomal protein L5 OS=Escherichia coli (strain K12) OX=83333 GN=rplE PE=1 SV=2}
+	{sp|P0AC53|G6PD_ECOLI}	48000	0	6	6	{48000,48000,48000,48000,48000,48000}	{sp|P0AC53|G6PD_ECOLI Glucose-6-phosphate 1-dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=zwf PE=1 SV=1}
+	{sp|Q46845|YGHU_ECOLI}	45000	0	1	1	{45000}	{sp|Q46845|YGHU_ECOLI Disulfide-bond oxidoreductase YghU OS=Escherichia coli (strain K12) OX=83333 GN=yghU PE=1 SV=2}
+	{sp|P69786|PTGCB_ECOLI}	36000	0	1	1	{36000}	{sp|P69786|PTGCB_ECOLI PTS system glucose-specific EIICB component OS=Escherichia coli (strain K12) OX=83333 GN=ptsG PE=1 SV=1}
+	{sp|P77717|YBAY_ECOLI}	46000	0	1	1	{46000}	{sp|P77717|YBAY_ECOLI Uncharacterized lipoprotein YbaY OS=Escherichia coli (strain K12) OX=83333 GN=ybaY PE=1 SV=1}
+	{sp|P0A7E5|PYRG_ECOLI}	52000	0	4	4	{52000,52000,52000,52000}	{sp|P0A7E5|PYRG_ECOLI CTP synthase OS=Escherichia coli (strain K12) OX=83333 GN=pyrG PE=1 SV=2}
+	{sp|P0A7L0|RL1_ECOLI}	51000	0	4	4	{51000,51000,51000,51000}	{sp|P0A7L0|RL1_ECOLI 50S ribosomal protein L1 OS=Escherichia coli (strain K12) OX=83333 GN=rplA PE=1 SV=2}
+	{sp|P29745|PEPT_ECOLI}	50000	0	2	2	{50000,50000}	{sp|P29745|PEPT_ECOLI Peptidase T OS=Escherichia coli (strain K12) OX=83333 GN=pepT PE=1 SV=2}
+	{sp|P00895|TRPE_ECOLI}	48000	0	20	20	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P00895|TRPE_ECOLI Anthranilate synthase component 1 OS=Escherichia coli (strain K12) OX=83333 GN=trpE PE=1 SV=2}
+	{sp|P33570|TKT2_ECOLI}	62000	0	1	1	{62000}	{sp|P33570|TKT2_ECOLI Transketolase 2 OS=Escherichia coli (strain K12) OX=83333 GN=tktB PE=1 SV=1}
+	{sp|P11454|ENTF_ECOLI}	52000	0	13	13	{52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000}	{sp|P11454|ENTF_ECOLI Enterobactin synthase component F OS=Escherichia coli (strain K12) OX=83333 GN=entF PE=1 SV=3}
+	{sp|P0AFG6|ODO2_ECOLI}	48000	0	6	6	{48000,48000,48000,48000,48000,48000}	{sp|P0AFG6|ODO2_ECOLI Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=sucB PE=1 SV=2}
+	{sp|P0AFG6|ODO2_ECOLI}	45000	0	3	3	{45000,45000,45000}	{sp|P0AFG6|ODO2_ECOLI Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=sucB PE=1 SV=2}
+	{sp|P0A9C5|GLN1B_ECOLI}	46000	0	5	5	{46000,46000,46000,46000,46000}	{sp|P0A9C5|GLN1B_ECOLI Glutamine synthetase OS=Escherichia coli (strain K12) OX=83333 GN=glnA PE=1 SV=2}
+	{sp|P00904|TRPGD_ECOLI}	60000	0	2	2	{60000,60000}	{sp|P00904|TRPGD_ECOLI Bifunctional protein TrpGD OS=Escherichia coli (strain K12) OX=83333 GN=trpGD PE=1 SV=3}
+	{sp|P15877|DHG_ECOLI}	57000	0	1	1	{57000}	{sp|P15877|DHG_ECOLI Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=gcd PE=1 SV=3}
+	{sp|P0AG16|PUR1_ECOLI}	40000	0	1	1	{40000}	{sp|P0AG16|PUR1_ECOLI Amidophosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=purF PE=1 SV=2}
+	{sp|P00959|SYM_ECOLI}	44000	0	2	2	{44000,44000}	{sp|P00959|SYM_ECOLI Methionine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=metG PE=1 SV=2}
+	{sp|P0A705|IF2_ECOLI}	58000	0	1	1	{58000}	{sp|P0A705|IF2_ECOLI Translation initiation factor IF-2 OS=Escherichia coli (strain K12) OX=83333 GN=infB PE=1 SV=1}
+	{Rev_sp|P0A6Y8|DNAK_ECOLI}	50000	0	0	4	{50000,50000,50000,50000}	{N/A}
+	{sp|P21362|YCIF_ECOLI}	45000	0	1	1	{45000}	{sp|P21362|YCIF_ECOLI Protein YciF OS=Escherichia coli (strain K12) OX=83333 GN=yciF PE=1 SV=1}
+	{sp|P0A850|TIG_ECOLI}	53000	0	9	9	{53000,53000,53000,53000,53000,53000,53000,53000,53000}	{sp|P0A850|TIG_ECOLI Trigger factor OS=Escherichia coli (strain K12) OX=83333 GN=tig PE=1 SV=1}
+	{sp|P0AE08|AHPC_ECOLI}	58000	0	3	3	{58000,58000,58000}	{sp|P0AE08|AHPC_ECOLI Alkyl hydroperoxide reductase C OS=Escherichia coli (strain K12) OX=83333 GN=ahpC PE=1 SV=2}
+	{sp|P07813|SYL_ECOLI}	46000	0	5	5	{46000,46000,46000,46000,46000}	{sp|P07813|SYL_ECOLI Leucine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=leuS PE=1 SV=2}
+	{sp|P0A6P9|ENO_ECOLI}	58000	0	8	8	{58000,58000,58000,58000,58000,58000,58000,58000}	{sp|P0A6P9|ENO_ECOLI Enolase OS=Escherichia coli (strain K12) OX=83333 GN=eno PE=1 SV=2}
+	{sp|P62620|ISPG_ECOLI}	44000	0	1	1	{44000}	{sp|P62620|ISPG_ECOLI 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Escherichia coli (strain K12) OX=83333 GN=ispG PE=1 SV=1}
+	{sp|P02931|OMPF_ECOLI}	53000	0	1	1	{53000}	{sp|P02931|OMPF_ECOLI Outer membrane porin F OS=Escherichia coli (strain K12) OX=83333 GN=ompF PE=1 SV=1}
+	{sp|P0A825|GLYA_ECOLI}	55000	0	6	6	{55000,55000,55000,55000,55000,55000}	{sp|P0A825|GLYA_ECOLI Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=glyA PE=1 SV=1}
+	{sp|P0A8J8|RHLB_ECOLI}	54000	0	3	3	{54000,54000,54000}	{sp|P0A8J8|RHLB_ECOLI ATP-dependent RNA helicase RhlB OS=Escherichia coli (strain K12) OX=83333 GN=rhlB PE=1 SV=2}
+	{sp|P0A794|PDXJ_ECOLI}	46000	0	3	3	{46000,46000,46000}	{sp|P0A794|PDXJ_ECOLI Pyridoxine 5'-phosphate synthase OS=Escherichia coli (strain K12) OX=83333 GN=pdxJ PE=1 SV=2}
+	{sp|P15639|PUR9_ECOLI}	50000	0	17	17	{50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000}	{sp|P15639|PUR9_ECOLI Bifunctional purine biosynthesis protein PurH OS=Escherichia coli (strain K12) OX=83333 GN=purH PE=1 SV=1}
+	{sp|P25665|METE_ECOLI}	65000	0	1	1	{65000}	{sp|P25665|METE_ECOLI 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=metE PE=1 SV=6}
+	{sp|P36938|PGM_ECOLI}	54000	0	7	7	{54000,54000,54000,54000,54000,54000,54000}	{sp|P36938|PGM_ECOLI Phosphoglucomutase OS=Escherichia coli (strain K12) OX=83333 GN=pgm PE=1 SV=1}
+	{sp|P60651|SPEB_ECOLI}	52000	0	1	1	{52000}	{sp|P60651|SPEB_ECOLI Agmatinase OS=Escherichia coli (strain K12) OX=83333 GN=speB PE=1 SV=1}
+	{sp|P33602|NUOG_ECOLI}	56000	0	1	1	{56000}	{sp|P33602|NUOG_ECOLI NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) OX=83333 GN=nuoG PE=1 SV=4}
+	{sp|P0A9Q5|ACCD_ECOLI}	52000	0	2	2	{52000,52000}	{sp|P0A9Q5|ACCD_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=accD PE=1 SV=1}
+	{sp|P0A817|METK_ECOLI}	44000	0	4	4	{44000,44000,44000,44000}	{sp|P0A817|METK_ECOLI S-adenosylmethionine synthase OS=Escherichia coli (strain K12) OX=83333 GN=metK PE=1 SV=2}
+	{sp|P60546|KGUA_ECOLI}	55000	0	2	2	{55000,55000}	{sp|P60546|KGUA_ECOLI Guanylate kinase OS=Escherichia coli (strain K12) OX=83333 GN=gmk PE=1 SV=1}
+	{sp|P25665|METE_ECOLI}	42000	0	4	4	{42000,42000,42000,42000}	{sp|P25665|METE_ECOLI 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=metE PE=1 SV=6}
+	{sp|P0A9T0|SERA_ECOLI}	48000	0	10	10	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P0A9T0|SERA_ECOLI D-3-phosphoglycerate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=serA PE=1 SV=2}
